source,target,value
104,21,21
28,21,32
11,21,48
37,21,24
40,21,32
38,21,21
39,21,28
12,21,62
68,69,37
67,44,23
15,44,51
19,44,25
1,44,27
18,44,28
14,44,24
56,44,33
111,79,21
104,79,21
99,79,25
78,79,32
6,41,40
75,41,34
42,41,51
41,75,34
66,80,31
66,65,39
51,65,26
86,51,30
17,51,32
31,51,32
1,51,22
25,51,20
70,51,24
14,51,39
29,51,24
30,51,48
15,51,30
52,51,20
65,51,26
8,51,23
50,49,49
19,49,29
64,49,28
43,27,51
26,27,60
72,107,22
21,11,48
94,11,22
28,11,60
12,11,80
52,11,47
15,11,29
37,11,48
105,11,23
104,11,24
40,11,28
38,11,32
39,11,41
97,11,24
11,52,47
104,52,22
12,52,27
51,52,20
28,52,26
39,52,28
37,52,31
21,104,21
12,104,22
52,104,22
11,104,24
79,104,21
64,63,39
101,63,25
34,63,27
15,102,22
1,102,25
10,9,81
46,9,22
90,9,28
42,9,26
38,12,25
94,12,26
11,12,80
52,12,27
37,12,31
97,12,25
21,12,62
28,12,46
103,12,25
104,12,22
40,12,39
98,12,25
39,12,29
92,12,28
83,10,30
9,10,81
42,10,23
46,10,24
79,111,21
19,67,23
15,67,27
53,67,32
18,67,37
44,67,23
59,67,25
44,1,27
19,1,27
112,1,21
15,1,67
0,1,127
14,1,76
8,1,87
102,1,25
70,1,32
24,1,25
59,1,31
51,1,22
25,1,41
18,1,51
79,99,25
78,99,25
77,99,24
46,45,50
58,45,42
93,45,22
79,78,32
91,78,28
99,78,25
77,78,27
59,100,25
61,96,25
76,87,29
31,87,20
9,90,28
21,37,24
40,37,24
11,37,48
28,37,33
38,37,54
39,37,33
52,37,31
12,37,31
47,35,45
36,35,55
47,36,50
35,36,55
17,29,32
16,29,22
51,29,24
30,29,59
31,29,49
46,58,25
45,58,42
77,34,23
33,34,56
63,34,27
64,34,28
34,33,56
78,91,28
43,26,22
27,26,60
43,106,23
62,2,39
42,2,33
23,2,30
61,2,34
72,2,22
71,2,21
20,2,64
60,2,40
3,2,103
19,0,21
14,0,60
18,0,46
1,0,127
25,0,24
15,0,44
18,8,32
59,8,22
14,8,47
51,8,23
24,8,21
108,8,22
15,8,47
1,8,87
70,8,26
25,8,32
51,86,30
41,6,40
7,6,87
81,6,30
13,6,79
32,6,57
48,6,46
7,32,36
48,32,35
6,32,57
13,32,48
3,42,44
10,42,23
62,42,22
60,42,25
41,42,51
2,42,33
9,42,26
20,42,25
3,60,40
2,60,40
20,60,28
42,60,25
15,14,58
70,14,20
30,14,43
19,14,23
51,14,39
18,14,47
44,14,24
17,14,34
1,14,76
0,14,60
25,14,24
8,14,47
34,77,23
99,77,24
61,77,33
78,77,27
56,15,21
0,15,44
59,15,29
25,15,25
11,15,29
18,15,47
1,15,67
8,15,47
44,15,51
70,15,37
19,15,36
51,15,30
108,15,21
14,15,58
67,15,27
102,15,22
72,56,25
15,56,21
57,56,43
44,56,33
2,62,39
42,62,22
20,62,24
3,62,31
88,53,29
18,53,46
19,53,20
67,53,32
25,24,61
1,24,25
8,24,21
39,38,35
28,38,20
12,38,25
11,38,32
37,38,54
21,38,21
40,38,26
63,64,39
34,64,28
95,64,25
81,64,23
85,64,30
101,64,21
50,64,21
84,64,30
46,64,21
49,64,28
46,82,30
89,82,23
89,114,20
20,61,25
77,61,33
96,61,25
3,61,40
2,61,34
29,31,49
30,31,59
17,31,22
93,31,23
19,31,26
76,31,34
87,31,20
51,31,32
11,105,23
1,19,27
15,19,36
31,19,26
53,19,20
18,19,65
93,19,26
14,19,23
0,19,21
44,19,25
49,19,29
67,19,23
64,50,21
76,50,27
49,50,49
14,30,43
17,30,55
29,30,59
51,30,48
31,30,59
22,30,22
16,30,23
48,13,43
32,13,48
7,13,79
6,13,79
81,13,25
94,55,22
54,55,45
84,81,21
13,81,25
6,81,30
64,81,23
109,110,21
1,112,21
1,18,51
53,18,46
59,18,41
15,18,47
14,18,47
44,18,28
0,18,46
19,18,65
8,18,32
67,18,37
55,54,45
94,54,23
19,93,26
76,93,26
5,93,26
31,93,23
45,93,22
4,93,22
84,113,20
58,46,25
10,46,24
82,46,30
45,46,50
9,46,22
89,46,29
64,46,21
10,83,30
46,89,29
114,89,20
82,89,23
17,22,62
16,22,25
30,22,22
30,17,55
25,17,25
22,17,62
16,17,65
51,17,32
31,17,22
29,17,32
14,17,34
31,76,34
50,76,27
87,76,29
93,76,26
17,16,65
30,16,23
22,16,25
29,16,22
110,109,21
3,72,26
71,72,34
107,72,22
2,72,22
56,72,25
93,4,22
5,4,95
93,5,26
4,5,95
15,25,25
14,25,24
17,25,25
0,25,24
8,25,32
24,25,61
51,25,20
1,25,41
70,25,20
26,43,22
106,43,23
27,43,51
73,74,34
63,101,25
64,101,21
71,3,20
20,3,63
72,3,26
23,3,57
61,3,40
60,3,40
2,3,103
62,3,31
42,3,44
3,23,57
2,23,30
20,23,61
61,20,25
60,20,28
3,20,63
62,20,24
23,20,61
2,20,64
42,20,25
54,94,23
28,94,24
12,94,26
55,94,22
11,94,22
52,28,26
39,28,26
97,28,22
21,28,32
37,28,33
11,28,60
38,28,20
94,28,24
12,28,46
48,7,49
32,7,36
13,7,79
6,7,87
69,68,37
74,73,34
51,70,24
8,70,26
25,70,20
15,70,37
14,70,20
1,70,32
15,108,21
8,108,22
65,66,39
80,66,31
64,85,30
12,98,25
64,95,25
11,97,24
28,97,22
12,97,25
36,47,50
35,47,45
12,92,28
53,88,29
21,39,28
37,39,33
12,39,29
28,39,26
40,39,53
38,39,35
11,39,41
52,39,28
72,71,34
2,71,21
3,71,20
113,84,20
64,84,30
81,84,21
18,59,41
8,59,22
1,59,31
67,59,25
100,59,25
15,59,29
38,40,26
39,40,53
37,40,24
12,40,39
11,40,28
21,40,32
12,103,25
13,48,43
7,48,49
32,48,35
6,48,46
56,57,43
