,name,group,nodesize
0,html,6,272.45
1,css,6,341.17
2,hibernate,8,29.83
3,spring,8,52.84
4,ruby,3,70.14
5,ruby-on-rails,3,55.31
6,ios,4,87.46
7,swift,4,63.62
8,html5,6,140.18
9,c,1,189.83
10,c++,1,268.11
11,asp.net,2,129.55
12,c#,2,321.13
13,objective-c,4,47.01
14,javascript,6,649.16
15,jquery,6,208.29
16,redux,3,8.52
17,reactjs,3,59.03
18,php,6,361.22
19,mysql,6,165.43
20,spring-mvc,8,18
21,.net,2,75.08
22,react-native,3,13.61
23,spring-boot,8,12.37
24,less,6,9.73
25,sass,6,30.55
26,hadoop,10,17.95
27,apache-spark,10,11.04
28,sql-server,2,64.62
29,express,3,14.27
30,node.js,3,117.36
31,mongodb,3,50.95
32,iphone,4,15.29
33,github,5,12.71
34,git,5,54.48
35,excel,14,12.5
36,excel-vba,14,11.38
37,entity-framework,2,12.88
38,linq,2,8.32
39,wcf,2,12.73
40,wpf,2,19.38
41,android,4,229.86
42,java,8,610.65
43,scala,10,27.02
44,ajax,6,35.41
45,django,1,40.91
46,python,1,438.67
47,vba,14,16.87
48,xcode,4,11.37
49,apache,5,13.17
50,nginx,5,9.49
51,angularjs,6,126.59
52,asp.net-web-api,2,11.28
53,laravel,6,32.12
54,plsql,2,10.32
55,oracle,2,30.19
56,json,6,25.38
57,xml,6,23.77
58,flask,1,9.39
59,wordpress,6,46.74
60,java-ee,8,22.45
61,maven,8,10.3
62,jsp,8,13.78
63,bash,5,23.91
64,linux,5,108.54
65,angular2,7,18.79
66,typescript,7,17.53
67,codeigniter,6,18.71
68,tdd,12,9.45
69,agile,12,12.22
70,twitter-bootstrap,6,31.05
71,web-services,8,18.94
72,rest,8,27.08
73,testing,11,8.95
74,selenium,11,12.7
75,android-studio,4,14.79
76,redis,3,13.85
77,jenkins,9,10.02
78,docker,9,22.85
79,amazon-web-services,9,30.05
80,angular,7,29.09
81,osx,4,12.58
82,machine-learning,1,44.21
83,qt,1,10.53
84,windows,5,19.71
85,ubuntu,5,11.98
86,ionic-framework,6,8.44
87,elasticsearch,3,10.82
88,vue.js,6,8.38
89,r,1,52.7
90,embedded,1,13.27
91,go,9,24.84
92,visual-studio,2,18.13
93,postgresql,3,39.03
94,sql,2,154.23
95,unix,5,15.67
96,eclipse,8,11.39
97,vb.net,2,23.56
98,unity3d,2,19.36
99,devops,9,9.81
100,drupal,6,8.25
101,shell,5,11.63
102,bootstrap,6,13.28
103,xamarin,2,11.18
104,azure,2,13.68
105,mvc,2,10.92
106,haskell,10,11.18
107,api,8,8.61
108,twitter-bootstrap-3,6,10.13
109,regex,13,9.46
110,perl,13,19.38
111,cloud,9,10.66
112,photoshop,6,12.62
113,powershell,5,9.85
114,matlab,1,27.21
